iter	Passed	Remaining
0	144	144622
1	151	75437
2	160	53375
3	166	41566
4	170	34019
5	174	28955
6	178	25336
7	181	22529
8	184	20280
9	186	18487
10	189	16998
11	191	15744
12	193	14673
13	195	13770
14	197	12965
15	198	12211
16	200	11587
17	201	11005
18	203	10490
19	205	10048
20	206	9644
21	208	9281
22	210	8955
23	212	8654
24	214	8376
25	216	8128
26	219	7895
27	221	7679
28	223	7485
29	225	7301
30	227	7124
31	229	6955
32	232	6799
33	233	6625
34	235	6489
35	237	6360
36	238	6218
37	241	6108
38	243	5999
39	245	5896
40	247	5798
41	250	5705
42	252	5616
43	254	5533
44	256	5450
45	259	5373
46	261	5295
47	263	5218
48	264	5142
49	266	5071
50	268	5002
51	270	4934
52	272	4871
53	274	4810
54	276	4750
55	278	4692
56	280	4636
57	282	4583
58	284	4530
59	285	4480
60	287	4432
61	289	4384
62	291	4338
63	293	4293
64	295	4249
65	297	4203
66	298	4162
67	300	4122
68	302	4084
69	304	4047
70	306	4010
71	308	3976
72	310	3941
73	312	3908
74	314	3875
75	316	3843
76	318	3812
77	319	3781
78	322	3759
79	324	3732
80	326	3709
81	328	3682
82	330	3655
83	332	3628
84	334	3602
85	336	3576
86	338	3551
87	340	3528
88	342	3504
89	344	3482
90	346	3459
91	348	3436
92	350	3414
93	352	3395
94	354	3377
95	356	3360
96	358	3341
97	360	3321
98	362	3301
99	364	3282
100	366	3263
101	368	3244
102	370	3226
103	372	3208
104	374	3191
105	376	3173
106	378	3157
107	380	3140
108	382	3123
109	384	3107
110	386	3093
111	388	3077
112	390	3061
113	391	3046
114	393	3031
115	395	3016
116	397	3001
117	399	2987
118	401	2975
119	403	2960
120	405	2946
121	407	2933
122	409	2919
123	411	2906
124	413	2893
125	415	2880
126	417	2867
127	419	2855
128	420	2842
129	422	2830
130	424	2817
131	426	2805
132	428	2793
133	430	2782
134	432	2770
135	434	2759
136	436	2747
137	438	2736
138	440	2725
139	441	2714
140	443	2703
141	445	2694
142	448	2684
143	449	2671
144	451	2661
145	453	2651
146	455	2641
147	457	2631
148	459	2622
149	461	2612
150	462	2602
151	465	2594
152	467	2585
153	468	2576
154	470	2567
155	472	2558
156	474	2549
157	476	2541
158	478	2532
159	480	2523
160	482	2514
161	484	2505
162	486	2497
163	488	2489
164	490	2480
165	492	2472
166	493	2464
167	495	2456
168	497	2447
169	499	2439
170	501	2432
171	503	2425
172	505	2418
173	508	2412
174	510	2405
175	512	2397
176	514	2390
177	516	2383
178	518	2377
179	520	2371
180	522	2364
181	524	2357
182	526	2350
183	528	2343
184	530	2338
185	532	2332
186	535	2326
187	537	2319
188	538	2312
189	540	2305
190	542	2298
191	544	2292
192	546	2286
193	548	2280
194	551	2275
195	553	2268
196	554	2262
197	556	2255
198	558	2248
199	560	2243
200	563	2238
201	565	2233
202	567	2227
203	569	2221
204	571	2215
205	573	2209
206	575	2203
207	577	2198
208	579	2192
209	581	2187
210	583	2181
211	585	2176
212	587	2171
213	589	2165
214	591	2160
215	593	2155
216	595	2149
217	597	2143
218	599	2138
219	601	2132
220	603	2126
221	605	2121
222	606	2113
223	608	2109
224	610	2103
225	612	2098
226	614	2092
227	616	2087
228	618	2082
229	620	2076
230	622	2071
231	624	2066
232	626	2061
233	628	2056
234	630	2051
235	632	2046
236	633	2041
237	635	2035
238	637	2031
239	639	2026
240	641	2021
241	643	2016
242	645	2011
243	647	2006
244	649	2001
245	651	1996
246	653	1992
247	655	1987
248	657	1982
249	659	1977
250	661	1972
251	662	1967
252	664	1963
253	666	1958
254	668	1952
255	670	1947
256	672	1943
257	674	1938
258	675	1933
259	677	1929
260	680	1926
261	682	1922
262	684	1918
263	686	1913
264	688	1909
265	690	1905
266	692	1901
267	694	1896
268	696	1892
269	698	1888
270	700	1883
271	702	1879
272	704	1875
