iter	Passed	Remaining
0	17	17061
1	26	13042
2	35	11870
3	45	11275
4	54	10806
5	62	10352
6	70	10037
7	80	9988
8	89	9830
9	98	9757
10	107	9642
11	116	9608
12	124	9486
13	133	9374
14	142	9325
15	151	9288
16	159	9212
17	168	9170
18	176	9123
19	185	9097
20	193	9032
21	201	8969
22	213	9050
23	222	9067
24	231	9032
25	240	9017
26	250	9028
27	262	9107
28	271	9097
29	280	9079
30	289	9052
31	298	9019
32	307	9000
33	316	8982
34	324	8941
35	332	8914
36	341	8878
37	349	8859
38	359	8855
39	368	8837
40	376	8813
41	385	8783
42	393	8765
43	403	8774
44	413	8785
45	423	8773
46	431	8748
47	439	8724
48	448	8713
49	459	8728
50	469	8731
51	477	8703
52	486	8696
53	495	8677
54	504	8670
55	513	8655
56	521	8624
57	530	8613
58	538	8583
59	546	8567
60	555	8553
61	564	8537
62	573	8524
63	581	8510
64	590	8499
65	601	8509
66	611	8515
67	620	8503
68	629	8491
69	640	8506
70	649	8493
71	657	8477
72	667	8472
73	676	8459
74	684	8444
75	693	8429
76	702	8426
77	711	8415
78	721	8409
79	730	8395
80	738	8381
81	747	8368
82	756	8356
83	765	8351
84	775	8349
85	784	8340
86	796	8355
87	805	8352
88	814	8338
89	823	8327
90	832	8316
91	843	8326
92	853	8321
93	861	8303
94	871	8299
95	880	8294
96	889	8280
97	898	8271
98	906	8253
99	914	8234
100	924	8225
101	933	8220
102	942	8210
103	952	8203
104	961	8192
105	969	8180
106	980	8179
107	990	8184
108	1000	8180
109	1012	8191
110	1025	8215
111	1035	8207
112	1045	8208
113	1055	8206
114	1065	8196
115	1074	8188
116	1085	8189
117	1093	8174
118	1102	8162
119	1112	8158
120	1121	8149
121	1132	8148
122	1141	8136
123	1150	8126
124	1159	8119
125	1170	8119
126	1182	8127
127	1191	8117
128	1201	8109
129	1210	8099
130	1220	8094
131	1229	8087
132	1238	8072
133	1247	8061
134	1256	8049
135	1264	8034
136	1273	8025
137	1282	8011
138	1292	8005
139	1301	7994
140	1309	7979
141	1318	7968
142	1327	7958
143	1337	7948
144	1346	7940
145	1355	7931
146	1367	7933
147	1376	7922
148	1386	7919
149	1395	7907
150	1404	7897
151	1414	7893
152	1424	7887
153	1434	7881
154	1444	7873
155	1453	7865
156	1463	7857
157	1472	7849
158	1481	7837
159	1490	7826
160	1500	7819
161	1510	7814
162	1520	7809
163	1535	7827
164	1547	7830
165	1560	7839
166	1570	7835
167	1581	7831
168	1594	7838
169	1604	7835
170	1615	7832
171	1627	7835
172	1637	7825
173	1647	7821
174	1660	7826
175	1672	7828
176	1682	7823
177	1694	7823
178	1706	7826
179	1716	7819
180	1728	7821
181	1739	7819
182	1751	7817
183	1762	7817
184	1773	7814
185	1783	7804
186	1794	7800
187	1804	7791
188	1812	7778
189	1822	7769
190	1831	7755
191	1839	7741
192	1848	7728
193	1857	7716
194	1866	7704
195	1874	7690
196	1883	7676
197	1891	7663
198	1900	7650
199	1909	7639
200	1918	7625
201	1926	7611
202	1938	7611
203	1948	7604
204	1957	7591
205	1966	7580
206	1975	7566
207	1983	7554
208	1992	7540
209	2003	7536
210	2012	7524
211	2022	7516
212	2031	7505
213	2040	7494
214	2050	7485
215	2059	7474
216	2068	7464
217	2078	7455
218	2087	7444
219	2096	7431
220	2105	7420
221	2113	7407
222	2123	7398
223	2134	7394
224	2143	7383
225	2152	7371
226	2161	7360
227	2172	7356
228	2181	7346
229	2191	7335
230	2200	7326
231	2209	7314
232	2218	7304
233	2228	7293
234	2236	7281
235	2247	7274
236	2255	7262
237	2266	7256
238	2277	7252
239	2287	7244
240	2298	7237
241	2310	7237
242	2320	7229
243	2331	7222
244	2342	7219
245	2352	7211
246	2361	7200
247	2373	7195
248	2383	7189
249	2394	7183
250	2403	7171
251	2415	7171
252	2425	7160
253	2435	7153
254	2446	7148
255	2456	7138
256	2465	7128
257	2475	7118
258	2485	7109
259	2495	7103
260	2505	7094
261	2517	7090
262	2526	7080
263	2535	7069
264	2545	7060
265	2555	7052
266	2565	7041
267	2574	7030
268	2583	7019
269	2591	7006
270	2600	6994
271	2608	6982
272	2618	6971
273	2626	6960
274	2635	6947
275	2643	6934
276	2652	6923
277	2661	6911
278	2671	6902
279	2680	6892
280	2689	6880
281	2699	6873
282	2709	6863
283	2717	6851
284	2726	6839
285	2735	6828
286	2745	6820
287	2753	6808
288	2762	6796
289	2771	6784
290	2780	6774
291	2790	6765
292	2798	6753
293	2807	6742
294	2816	6730
295	2824	6718
296	2833	6707
297	2842	6695
298	2851	6684
299	2860	6674
300	2869	6663
301	2878	6652
302	2888	6643
303	2897	6633
304	2906	6622
305	2915	6612
306	2924	6601
307	2932	6589
308	2942	6581
309	2951	6569
310	2960	6559
311	2970	6550
312	2980	6542
313	2990	6533
314	2999	6522
315	3008	6511
316	3018	6504
317	3027	6492
318	3037	6485
319	3047	6476
320	3055	6463
321	3064	6452
322	3072	6439
323	3083	6432
324	3092	6422
325	3101	6412
326	3109	6400
327	3118	6389
328	3129	6382
329	3138	6372
330	3148	6363
331	3158	6354
332	3166	6343
333	3176	6333
334	3185	6323
335	3194	6313
336	3203	6301
337	3212	6291
338	3220	6280
339	3230	6270
340	3238	6259
341	3247	6247
342	3256	6236
343	3266	6228
344	3275	6218
345	3284	6208
346	3295	6202
347	3305	6192
348	3313	6181
349	3323	6171
350	3331	6160
351	3340	6150
352	3349	6139
353	3358	6129
354	3367	6118
355	3376	6108
356	3385	6098
357	3394	6088
358	3403	6077
359	3411	6065
360	3420	6054
361	3429	6044
362	3438	6033
363	3447	6023
364	3458	6016
365	3467	6006
366	3476	5996
367	3486	5987
368	3496	5979
369	3505	5969
370	3514	5958
371	3523	5948
372	3532	5938
373	3541	5928
374	3550	5917
375	3560	5908
376	3568	5897
377	3577	5887
378	3587	5877
379	3596	5868
380	3605	5858
381	3614	5847
382	3624	5838
383	3633	5828
384	3642	5818
385	3651	5808
386	3661	5800
387	3671	5790
388	3679	5779
389	3689	5770
390	3698	5760
391	3707	5749
392	3716	5739
393	3725	5730
394	3734	5720
395	3743	5709
396	3752	5699
397	3761	5689
398	3770	5678
399	3778	5668
400	3787	5657
401	3795	5646
402	3804	5635
403	3812	5624
404	3822	5615
405	3830	5604
406	3841	5597
407	3850	5587
408	3859	5576
409	3868	5567
410	3877	5556
411	3886	5546
412	3908	5554
413	3917	5545
414	3926	5535
415	3935	5524
416	3944	5514
417	3953	5504
418	3962	5494
419	3972	5486
420	3981	5475
421	3989	5464
422	3999	5455
423	4007	5444
424	4017	5435
425	4026	5425
426	4042	5424
427	4054	5418
428	4064	5409
429	4074	5401
430	4084	5392
431	4094	5382
432	4103	5374
433	4113	5364
434	4122	5354
435	4132	5346
436	4141	5335
437	4151	5326
438	4160	5316
439	4168	5305
440	4177	5294
441	4185	5284
442	4194	5273
443	4203	5264
444	4212	5253
445	4221	5243
446	4230	5234
447	4240	5225
448	4249	5215
449	4258	5205
450	4267	5194
451	4278	5186
452	4286	5176
453	4295	5165
454	4304	5155
455	4313	5146
456	4323	5137
457	4333	5128
458	4342	5117
459	4352	5109
460	4363	5101
461	4374	5093
462	4383	5084
463	4393	5075
464	4405	5068
465	4417	5062
466	4428	5053
467	4442	5049
468	4451	5040
469	4464	5034
470	4477	5028
471	4490	5022
472	4502	5016
473	4514	5009
474	4527	5004
475	4540	4998
476	4554	4993
477	4567	4987
478	4580	4981
479	4592	4975
480	4605	4969
481	4616	4961
482	4631	4957
483	4647	4955
484	4659	4947
485	4671	4940
486	4685	4935
487	4698	4929
488	4710	4922
489	4722	4915
490	4733	4906
491	4745	4899
492	4755	4890
493	4766	4881
494	4777	4873
495	4790	4867
496	4801	4859
497	4811	4850
498	4824	4843
499	4837	4837
500	4847	4828
501	4860	4821
502	4871	4813
503	4881	4803
504	4892	4795
505	4903	4787
506	4913	4777
507	4925	4770
508	4936	4762
509	4946	4752
510	4957	4744
511	4969	4736
512	4979	4726
513	4989	4717
514	5000	4709
515	5010	4699
516	5019	4689
517	5028	4678
518	5038	4669
519	5048	4660
520	5061	4653
521	5072	4645
522	5081	4634
523	5092	4626
524	5101	4615
525	5110	4605
526	5120	4595
527	5129	4585
528	5137	4574
529	5146	4563
530	5155	4553
531	5164	4542
532	5173	4532
533	5181	4521
534	5190	4511
535	5199	4500
536	5208	4490
537	5217	4480
538	5225	4469
539	5236	4460
540	5245	4450
541	5254	4440
542	5264	4430
543	5272	4419
544	5281	4409
545	5290	4399
546	5299	4388
547	5307	4377
548	5316	4367
549	5326	4357
550	5335	4347
551	5344	4337
552	5353	4327
553	5362	4316
554	5371	4306
555	5380	4296
556	5389	4286
557	5398	4275
558	5406	4265
559	5417	4256
560	5426	4246
561	5436	4236
562	5445	4226
563	5453	4215
564	5462	4205
565	5471	4195
566	5480	4185
567	5488	4174
568	5497	4163
569	5506	4153
570	5515	4143
571	5523	4132
572	5531	4121
573	5540	4112
574	5548	4101
575	5557	4090
576	5565	4080
577	5574	4069
578	5583	4060
579	5591	4049
580	5602	4040
581	5611	4029
582	5620	4019
583	5629	4009
584	5637	3999
585	5646	3989
586	5655	3979
587	5665	3969
588	5674	3959
589	5686	3951
590	5695	3941
591	5707	3933
592	5718	3924
593	5727	3914
594	5738	3905
595	5751	3898
596	5762	3890
597	5772	3880
598	5786	3874
599	5797	3865
600	5810	3857
601	5822	3849
602	5833	3840
603	5842	3830
604	5855	3823
605	5866	3814
606	5875	3804
607	5886	3795
608	5896	3786
609	5906	3776
610	5917	3767
611	5927	3757
612	5936	3747
613	5946	3738
614	5955	3728
615	5964	3718
616	5973	3708
617	5983	3698
618	5994	3689
619	6003	3679
620	6012	3669
621	6022	3659
622	6032	3650
623	6041	3640
624	6051	3630
625	6060	3620
626	6071	3611
627	6080	3601
628	6089	3591
629	6097	3581
630	6105	3570
631	6114	3560
632	6123	3550
633	6133	3540
634	6141	3530
635	6151	3520
636	6160	3510
637	6170	3501
